store_id,store_name,neighborhood,excel_sheet,excel_naver_url_exists,extracted_address,kakao_query,unresolved_reason,recommended_action
3f441930b8d18783,1980밀면회관&냉면 문수점,문수동,,no,,1980밀면회관&냉면 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
a75505094208bb61,1988응답하라추억의옛날도시락 고소동점,고소동,,no,,1988응답하라추억의옛날도시락 고소동점 고소동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
b1beeb518c437d02,60일숙성 명품김치찜&김치찌개&쌈밥 교동점,교동,,no,,60일숙성 명품김치찜&김치찌개&쌈밥 교동점 교동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
55ef78aa24e1eac6,Boss짬뽕 직화제육 미평점,미평동,,no,,Boss짬뽕 직화제육 미평점 미평동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
9cb90900e5057c72,가마솥 볶음밥 여서점,여서동,,no,,가마솥 볶음밥 여서점 여서동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
1e7308d1e28fe49e,갈비냉면 문수점,문수동,,no,,갈비냉면 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
91cc31c37aa68d62,고궁 갈비탕&갈비찜&육개장 문수점,문수동,,no,,고궁 갈비탕&갈비찜&육개장 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
2f939a1b44f5f7ec,골목낙곱새 1977 봉강점,봉강동,,no,,골목낙곱새 1977 봉강점 봉강동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
4b8ea4cbc481a3ee,골목짬뽕 여서점,여서동,,no,,골목짬뽕 여서점 여서동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
f68c9f29515c518e,곱도리辛 낙곱새 봉산점,봉산동,,no,,곱도리辛 낙곱새 봉산점 봉산동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
57bb58bd63f0de94,구운돼지 문수점,문수동,,no,,구운돼지 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
0df58cf68356ebff,굽네치킨&피자 관문점,관문동,,no,,굽네치킨&피자 관문점 관문동,가게명·지점명·동네 불일치,Notion 가게명과 네이버 장소명·지점·동네를 수동 대조
d556f1478e479e75,굽네치킨&피자 봉산국동점,국동,,no,,굽네치킨&피자 봉산국동점 국동,가게명·지점명·동네 불일치,Notion 가게명과 네이버 장소명·지점·동네를 수동 대조
aed649ea91b727b8,귀한김치찜 국동봉산점,국동,,no,,귀한김치찜 국동봉산점 국동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
665953a0453afc52,김사장 국밥 문수점,문수동,,no,,김사장 국밥 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
7ed65c8f086f11f2,김사장 대박난 국수집 문수점,문수동,,no,,김사장 대박난 국수집 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
67f5b4a369c1c6d9,김치찌개참잘하는집 여서점,여서동,,no,,김치찌개참잘하는집 여서점 여서동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
4fd2d6fdd67f0db8,김치찜팝니다 서교점,서교동,,no,,김치찜팝니다 서교점 서교동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
d60f32bbdaa13cf5,까페빈 봉산점,봉산동,최근작업,yes,전남 여수시 봉산남7길 10-1 1층 카페빈,전남 여수시 봉산남7길 10-1 1층 카페빈,검색 결과가 여러 개라 자동 확정 불가,카카오 주소 후보와 네이버 장소를 수동 대조
b91093385f1baa6a,내가 끓였찌 여서점,여서동,,no,,내가 끓였찌 여서점 여서동,가게명·지점명·동네 불일치,Notion 가게명과 네이버 장소명·지점·동네를 수동 대조
ac2e0e2021267315,닭곰탕 백숙 보약한첩 문수점,문수동,,no,,닭곰탕 백숙 보약한첩 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
187287f22433bfcf,더 진한 소한마리탕&국밥 엑스포점,덕충동,,no,,더 진한 소한마리탕&국밥 엑스포점 덕충동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
